标题	内容	星级	赞同数	评论链接	评论时间	好评点1	好评点2	好评点3	好评点4	好评点5	好评点6	差评点1	差评点2	差评点3	差评点4	差评点5	差评点6	差评点7	v0_4o_mini	v0_4o	v0_4.5
A solid purchase, but a few flaws	"I just purchased and assembled this desk to replace a worn-out desk of similar quality. Here's some notes for those who are considering the same:

* Shipping was fast. The desk shipped within 24 hours from CA. Since I'm in AZ it arrived only a few days later. The desk was packed in 2 boxes, which arrived one day apart. Not surprisingly the boxes are big and heavy, about 65lb and 85lb each. You'll definitely need a dolly or a couple strong people to help move them from your doorstep. The boxes themselves were damaged in transit, but the liberal use of styrofoam (yuck) prevented any damage inside.
* The instructions consisted of diagrams with minimal words. However the steps were mostly understandable and words were used to point out especially critical steps when the diagram wasn't clear enough.  Some steps were still vague however, requiring extra scrutiny or trial-and-error. All parts were clearly labeled and several spares of each screw and nut were generously included.
* The 45-steps took several hours to complete as not a single piece was pre-assembled. Having a helper insert dowels, screws or assemble drawers while you work on the major steps will save a lot of time. Also an electric screwdriver with a phillips and hex head will save a LOT of effort! Thankfully no other tools are required.
* Be sure to assemble the desk in the same room where it will be placed. The 2 sides are not designed to separate, and once assembled it is semi-permanent. Also be aware the cabinet on the left and the drawers on the right are NOT reversible, the pre-drilled holes do not allow for any option besides what is shown.
* For some inexplicable reason, several locknuts and screws are located on the outside of the desk so they are clearly visible. They could have easily been placed on the other side which would have hidden them under the desktop, but the manufacturer must assume this desk will be placed in a corner with both outer sides against the wall. At least small matching stickers are included to hide the some (but not all) of the holes, but it still looks unattractive if any outer side is visible to the room.
* For pre-fab, engineered wood furniture this desk is pretty sturdy. The wood plates are thick and heavy, and the joined pieces are highly reinforced. For example there over 28 locknuts and screws securing the desktop to the body.  The drawers are solid and slide easily and appear they could hold a lot of weight.
* The cabinet does not have any holes or perforations on the back panel. If you plan on placing a PC or other electric equipment inside, you'll have to cut a wiring hole yourself.
* The black surface of the desk looks nice, especially compared to the faux-woodgrain design of other cheap furniture, but it seems every speck of dust and fingerprint is obvious. It's likely the surface will never look pristine!

Overall I'm happy with my purchase. There are some flaws and room for improvement, but I feel like I got my money worth. This isn't something you'll pass on to your grandkids, but its certainly good enough to write this review on!"	4	4	https://www.amazon.com/gp/customer-reviews/RR4XJEH328EYT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	1/23/2025	物流速度	包装保护性	安装说明书内容	使用噪音	抽屉承重能力	美观度	搬运难度	安装时长	安装难度	柜门开合顺畅度	桌面防水性	线缆管理	耐脏性	{'好评点1': '物流速度', '好评点2': '说明书内容', '好评点3': '稳定性', '好评点4': '抽屉滑轨顺畅度', '好评点5': '桌板材质', '好评点6': '美观度', '差评点1': '搬运难度', '差评点2': '安装时长', '差评点3': '解说不清晰', '差评点4': '桌面防水性'}	{'好评点1': '物流速度', '差评点1': '搬运难度', '差评点2': '包装保护性', '差评点3': '说明书内容', '差评点4': '需拼装组件数量', '差评点5': '螺丝钉外观', '差评点6': '线缆管理', '好评点2': '桌板材质', '好评点3': '稳定性', '好评点4': '抽屉滑轨顺畅度', '差评点7': '易清洁性质'}	"{
    '好评点1': '物流速度',
    '好评点2': '包装保护性',
    '差评点1': '搬运难度',
    '差评点2': '说明书内容',
    '好评点3': '错件情况',
    '差评点3': '安装时长',
    '差评点4': '需拼装组件数量',
    '差评点5': '螺丝钉外观',
    '好评点4': '稳定性',
    '好评点5': '桌板厚度',
    '好评点6': '抽屉滑轨顺畅度',
    '好评点7': '抽屉大小',
    '差评点6': '线缆管理',
    '好评点8': '美观度',
    '差评点7': '易清洁性质',
    '好评点9': '桌面材质'
}"
awesome	instructions were super easy to follow. Desk is super sturdy! would highly recommend	5	0	https://www.amazon.com/gp/customer-reviews/R1AUFE0HJHWQDJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	1/22/2025	安装说明书	稳定性												{'好评点1': '说明书内容', '好评点2': '稳定性'}	{'好评点1': '说明书内容', '好评点2': '稳定性'}	{'好评点1': '说明书内容', '好评点2': '稳定性'}
Love the desk! Great customer service as well!	Absolutly love this desk! It was not hard to put together and I feel like the quality is so good that it's going to last me a life time. I also had to reach out to customer service because a storm had disrupted our delivery. The issue was absolutly not their fault but they solved it quickly and were so nice! I then realized I had lost a piece in the shuffle of putting it together, and the sent me a new piece, no cost to me! In short I was a bit of a nightmare customer, and they were so nice and helpful! I wish every customer service interaction was as nice as that one!	5	1	https://www.amazon.com/gp/customer-reviews/RHDVAHMPEMGZW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	1/11/2025	安装难度	客服质量					安装时长							{'好评点1': '安装难度', '好评点2': '客服质量', '好评点3': '整体收纳空间', '好评点4': '稳定性'}	{'好评点1': '安装难度', '好评点2': '客服质量'}	{'好评点1': '安装难度', '好评点2': '桌板材质', '好评点3': '客服质量', '好评点4': '缺件情况'}
Good quality	Although this desk took a few hours to put together... the directions were understandable and all parts were included.  Pre drilled holes were correct. Packaged well and study. I love this desk!	5	0	https://www.amazon.com/gp/customer-reviews/R2LSLJP7QJX83B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	12/31/2024	安装说明书	缺件情况	螺丝&孔位匹配度	包装保护性	稳定性		安装时长							{'好评点1': '说明书内容', '好评点2': '错件情况', '好评点3': '螺丝孔位匹配度', '好评点4': '包装保护性', '好评点5': '稳定性'}	{'差评点1': '安装时长', '好评点1': '说明书内容', '好评点2': '缺件情况', '好评点3': '螺丝孔位匹配度', '好评点4': '包装保护性', '好评点5': '稳定性', '好评点6': '美观度'}	{'差评点1': '安装时长', '好评点1': '说明书内容', '好评点2': '缺件情况', '好评点3': '螺丝孔位匹配度', '好评点4': '包装保护性', '好评点5': '稳定性'}
Great Purchase! Solid Desk.	"I absolutely love my new desk. There is room for everything. I upgraded to a corner desk because my new project requires that I use their company laptop, and I still needed to use my company’s laptop. With this desk the layout is perfect.
It took my husband several hours to assemble. He did it a little bit at a time after work for a few nights, so I can’t give an exact time, but it was from 4-6 hours. He’s very good with building and woodworking. He did tell me that someone less skilled at such things would be able to assemble it. The directions were clear.
I have two negatives.
1. One of the corners had about a quarter size chip. I am not bothered by it, but some others may be.
2. The edges are rough. If the edges were beveled, it would be so much better. I’ll need to find a solution as it is irritating to my forearms as I type. I’m sure that I’ll find a solution. They are beveled on the bottom, so it is possible that the manufactured put the drill and bit holes on the wrong side of the boards.
This is a sturdy desk that should last me for many years. It is a huge win for me!"	4	5	https://www.amazon.com/gp/customer-reviews/R29SZUDW7213P8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	12/26/2024	美观度	安装说明书	稳定性				安装时长	桌体破损情况	桌板表面完整性					{'好评点1': '整体收纳空间', '好评点2': '安装难度', '好评点3': '说明书内容', '差评点1': '桌体破损情况', '差评点2': '桌面边缘处理', '差评点3': '稳定性'}	{'好评点1': '整体收纳空间', '好评点2': '说明书内容', '好评点3': '稳定性', '差评点1': '安装时长', '差评点2': '桌体破损情况', '差评点3': '桌面边缘处理'}	{'好评点1': '整体收纳空间', '好评点2': '安装难度', '好评点3': '说明书内容', '差评点1': '桌体破损情况', '差评点2': '桌面边缘处理', '好评点4': '稳定性'}
Easy assembly and sturdy	I was able to put this together relatively quickly and with very little issues. Great quality for the price and drawer space is excellent	5	3	https://www.amazon.com/gp/customer-reviews/R2SWYXPCGHH183/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	12/21/2024	安装时长	性价比	抽屉收纳空间											{'好评点1': '安装时长', '好评点2': '质量', '好评点3': '整体收纳空间'}	{'好评点1': '安装时长', '好评点2': '整体收纳空间'}	{'好评点1': '安装时长', '好评点2': '整体收纳空间', '好评点3': '抽屉大小'}
Damaged	The product came in damaged. This was supposed to be a Christmas gift and now I have to worry about returning it. I am completely disappointed in my purchase!	1	1	https://www.amazon.com/gp/customer-reviews/R2QWDGC3FTYNNC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	12/19/2024							桌体破损情况							{'差评点1': '桌体破损情况', '差评点2': '缺件情况', '差评点3': '退货运输费用'}	{'差评点1': '运输货品完好度'}	{'差评点1': '运输货品完好度'}
Overall, a great product.	The desk is very sturdy, but I would like to see the manufacture use larger screws in the drawer areas. But all-in-all very pleased.	5	0	https://www.amazon.com/gp/customer-reviews/R1CYV6Y34XE51Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	12/14/2024	稳定性													{'好评点1': '稳定性', '差评点1': '螺丝钉外观'}	```{'好评点1': '稳定性', '差评点1': '螺丝钉外观'}```	{'好评点1': '稳定性', '差评点1': '螺丝钉外观'}
Nice desk for the money	It's going to take a few hours to assemble so set aside a half day to do this.  It's like putting a 500 piece puzzle together, lol.  It was not difficult, but took longer than expected. You really have to pay attention to the pictures and look ahead a few steps to understand at times, but it came out better than expected.  The top of the desk is very easily damaged so be careful when dealing with those 2 parts especially.  Great desk for the money.  Fit very well in a small corner space in my bonus room.	5	9	https://www.amazon.com/gp/customer-reviews/RFMFBWQ377X2C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	10/21/2024	安装难度						安装时长	组件数量	安装说明书	桌板完整性				{'好评点1': '安装难度', '差评点1': '安装时长', '差评点2': '桌体破损情况', '好评点2': '整体收纳空间'}	{'差评点1': '安装时长', '好评点1': '安装难度', '差评点2': '桌体破损情况', '好评点2': '整体收纳空间'}	{'差评点1': '安装时长', '好评点1': '安装难度', '差评点2': '说明书内容', '好评点2': '美观度', '差评点3': '桌板材质', '好评点3': '整体收纳空间'}
Very sturdy product. All wood.	Using for sewing desk. The only thing i didn't like is the finish is just a thin coating that was peeled up in a couple spots.	4	2	https://www.amazon.com/gp/customer-reviews/R3B8HG697GMCM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	9/27/2024							桌板表面完整性							{'差评点1': '桌面材质'}	{'差评点1': '桌面材质'}	{'差评点1': '桌面材质'}
Looks cheap because it is cheap	The deal comes in two huge boxes and were destroyed when they arrived.  The product was found to be cracked and busted in places but the headache to deal with the supplier and Amazon was just not worth the trouble.  We put it together (husband is a contractor and still took over 6 hours as it’s in 400 tiny parts.  After all built it has nothing over the screw holes and such.  IT NEEDS a lot better overall look but it’s an Amazon desk…. Buyer beware	2	1	https://www.amazon.com/gp/customer-reviews/R1HSU4C5BVIWRX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	9/24/2024							包装保护性	桌体破损情况	安装时长	组件数量				{'差评点1': '包装保护性', '差评点2': '桌体破损情况', '差评点3': '缺件情况', '差评点4': '安装时长', '差评点5': '需拼装组件数量', '差评点6': '整体收纳空间'}	{'差评点1': '运输货品完好度', '差评点2': '桌体破损情况', '差评点3': '安装时长', '差评点4': '需拼装组件数量', '差评点5': '螺丝孔位匹配度', '差评点6': '美观度'}	{'差评点1': '运输货品完好度', '差评点2': '桌体破损情况', '差评点3': '客服质量', '差评点4': '安装时长', '差评点5': '需拼装组件数量', '差评点6': '螺丝钉外观', '差评点7': '美观度'}
Love it	This desk was easy to assemble and was great workmanship lots of drawers and space and very sturdy and strong I absolutely love it	5	4	https://www.amazon.com/gp/customer-reviews/R1YKH4EW83FSRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	9/20/2024	安装难度	美观度	抽屉收纳空间	稳定性										{'好评点1': '安装难度', '好评点2': '整体收纳空间', '好评点3': '稳定性', '好评点4': '美观度'}	{'好评点1': '安装难度', '好评点2': '整体收纳空间', '好评点3': '稳定性'}	{'好评点1': '安装难度', '好评点2': '整体收纳空间', '好评点3': '抽屉大小', '好评点4': '稳定性'}
Good desk, difficult assembly	Great appearance, lots of storage. Assembly was a bit complicated and very time consuming. Good quality, desk is quite sturdy	4	3	https://www.amazon.com/gp/customer-reviews/RSZDZSY1NHCIK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	9/6/2024	美观度	抽屉收纳空间	稳定性				安装难度	安装时长						{'好评点1': '美观度', '好评点2': '整体收纳空间', '差评点1': '安装难度', '差评点2': '安装时长', '好评点3': '稳定性'}	{'好评点1': '美观度', '好评点2': '整体收纳空间', '差评点1': '安装难度', '差评点2': '安装时长', '好评点3': '桌板材质', '好评点4': '稳定性'}	{'好评点1': '美观度', '好评点2': '整体收纳空间', '差评点1': '安装难度', '差评点2': '安装时长', '好评点3': '桌板材质', '好评点4': '稳定性'}
Good desk.	Allow an hour or more for assembly. Heavy. Assemble where you will use it. Once it’s up, it’s a great functional desk for the price.	4	3	https://www.amazon.com/gp/customer-reviews/R27ZC9PVCDTNEM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	9/2/2024	性价比						安装时长	搬运难度						{'好评点1': '整体收纳空间', '差评点1': '安装时长', '差评点2': '搬运难度'}	{'差评点1': '安装时长', '差评点2': '搬运难度', '好评点1': '整体收纳空间'}	{'差评点1': '安装时长', '差评点2': '搬运难度', '好评点1': '整体收纳空间'}
Awesome look and quality	Great value for the cost. Couldn’t be happier	5	2	https://www.amazon.com/gp/customer-reviews/R1GOBMV1X5JBBN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	8/19/2024	性价比													{}	{}	{}
Shows screws	It is a nice desk, however, if this desk isn’t pushed into a corner you will notice the screws since they do not provide screw covers to help cover them. Disappointing for the amount you pay of this desk.	3	9	https://www.amazon.com/gp/customer-reviews/R1ZBIMDZB1DT2V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	8/17/2024							美观度	性价比						{'好评点1': '美观度', '差评点1': '螺丝钉外观'}	{'好评点1': '美观度', '差评点1': '螺丝钉外观'}	{'好评点1': '美观度', '差评点1': '螺丝钉外观'}
Good guality	The assembly book is all pictures. No words to read. The pictures of end cabinets changes in the middle of the booklet. The desk top can only go one way, so look at last picture when you get to middle of booklet. Also corner support is flimsy, we reinforced it.	3	4	https://www.amazon.com/gp/customer-reviews/R3H2UH51I6KGVX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	8/14/2024							安装说明书内容	稳定性						{'差评点1': '说明书内容', '差评点2': '稳定性'}	{'差评点1': '说明书内容', '差评点2': '美观度'}	{'差评点1': '说明书内容', '差评点2': '稳定性'}
VERY NICE	lots of pieces, sturdy and I love it	5	1	https://www.amazon.com/gp/customer-reviews/R1VO1D4S64N6BH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	8/8/2024	稳定性						组件数量							{'好评点1': '整体收纳空间', '好评点2': '稳定性', '差评点1': '需拼装组件数量'}	{'差评点1': '需拼装组件数量', '好评点1': '稳定性', '好评点2': '美观度'}	{'差评点1': '需拼装组件数量', '好评点1': '稳定性'}
Very nice	Greatly quality for the money, took about an hour to build.	5	1	https://www.amazon.com/gp/customer-reviews/R22Q47JU32BIPE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	8/5/2024	性价比	安装时长												{'好评点1': '整体收纳空间', '差评点1': '安装时长'}	{'好评点1': '桌板材质', '好评点2': '价格', '好评点3': '安装时长'}	{'好评点1': '桌板材质', '差评点1': '安装时长'}
Great Desk	I bought this for my home office.  The unit is quite solid, attractive and functional.  The only issue I would impart is that you need to set aside some time to assemble this unit.  The instructions were good, but lengthy and time is needed to do the job and do it right.  But that's pretty much inevitable with a product such as this isn't it?  That said, the desk was well packaged and arrived in good condition.  ALL of the drilled holes for the hardware lined-up perfectly.  So much so, that I was rather impressed by the accuracy of the manufacturing.	5	8	https://www.amazon.com/gp/customer-reviews/R12G9AH0LFXM5J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	7/27/2024	稳定性	安装说明书内容	包装保护性	螺丝&孔位匹配度			安装时长							{'好评点1': '整体收纳空间', '好评点2': '美观度', '好评点3': '安装难度', '好评点4': '说明书内容', '好评点5': '包装保护性', '好评点6': '螺丝孔位匹配度'}	{'好评点1': '美观度', '好评点2': '整体收纳空间', '差评点1': '安装时长', '好评点3': '包装保护性', '好评点4': '运输货品完好度', '好评点5': '螺丝孔位匹配度'}	{'好评点1': '稳定性', '好评点2': '美观度', '好评点3': '整体收纳空间', '差评点1': '安装时长', '好评点4': '说明书内容', '好评点5': '包装保护性', '好评点6': '运输货品完好度', '好评点7': '螺丝孔位匹配度'}
Nice looking office desk	"We purchased the black and white desk. It turned out great, it was a nice upgrade for us.
Things to know:
It is shipped in 2 packages. Our 2nd package was delayed, but customer service was helpful with a tracking number.
The top surface shows every fingerprint, a little annoying, but not terrible. The desk top is like a wood laminate but the rest is good wood.
The drawers are not near as deep as the desk: a little over 13"" compared to 22"" on the desk top.
It is a big project to put together, it took 3 nights for us to complete it."	4	6	https://www.amazon.com/gp/customer-reviews/R1PH5U0YDU1K9S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	7/27/2024	客服质量	桌板材质	耐脏性				物流速度	桌面材质	抽屉尺寸	安装时长				{'好评点1': '美观度', '好评点2': '客服质量', '差评点1': '物流速度', '差评点2': '抽屉大小', '差评点3': '安装时长', '差评点4': '需拼装组件数量'}	"{
  '好评点1': '美观度',
  '好评点2': '客服质量',
  '差评点1': '桌面材质',
  '差评点2': '抽屉大小',
  '差评点3': '安装时长'
}"	{'好评点1': '美观度', '差评点1': '物流速度', '好评点2': '客服质量', '差评点2': '耐脏性', '差评点3': '桌面材质', '好评点3': '桌板材质', '差评点4': '抽屉大小', '差评点5': '安装难度', '差评点6': '安装时长'}
Nice stylish computer desk table	Nice stylish, L shape computer deck,  I like it.	5	5	https://www.amazon.com/gp/customer-reviews/R236FPSDJD5IVV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	7/26/2024	美观度													{}	{'好评点1': '美观度'}	{'好评点1': '美观度'}
Difficult to put together	Very hard to put together, directions were confusing.	3	3	https://www.amazon.com/gp/customer-reviews/RS6TYQXOY7K6V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7M9BKQY	7/19/2024						安装难度	安装说明书内容							{'差评点1': '安装难度', '差评点2': '说明书内容'}	{'差评点1': '安装难度', '差评点2': '说明书内容'}	{'差评点1': '安装难度', '差评点2': '说明书内容'}
